project,rule,severity,line,effort,debt,tags,type,scope,cleanCodeAttribute,quickFixAvailable,cleanCodeAttributeCategory,Software_Quality_Impact,Impact_Severity,message
ClassEval0canonical,python:S125,MAJOR,1,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,MEDIUM,Remove this commented out code.
ClassEval0canonical,python:S1186,CRITICAL,65,5min,5min,suspicious,CODE_SMELL,MAIN,COMPLETE,False,INTENTIONAL,MAINTAINABILITY,HIGH,"Add a nested comment explaining why this method is empty, or complete the implementation."
ClassEval0canonical,python:S1481,MINOR,70,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,LOW,"Remove the unused local variable ""method""."
ClassEval0canonical,python:S5754,CRITICAL,81,5min,5min,"error-handling, bad-practice, suspicious",CODE_SMELL,MAIN,COMPLETE,False,INTENTIONAL,MAINTAINABILITY,HIGH,Specify an exception class to catch or reraise the exception
ClassEval1canonical,python:S125,MAJOR,1,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,MEDIUM,Remove this commented out code.
ClassEval10canonical,python:S125,MAJOR,1,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,MEDIUM,Remove this commented out code.
ClassEval11canonical,python:S125,MAJOR,1,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,MEDIUM,Remove this commented out code.
ClassEval12canonical,python:S125,MAJOR,1,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,MEDIUM,Remove this commented out code.
ClassEval12canonical,python:S1192,CRITICAL,99,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,False,ADAPTABLE,MAINTAINABILITY,HIGH,Define a constant instead of duplicating this literal 'Player wins' 3 times.
ClassEval12canonical,python:S1192,CRITICAL,101,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,False,ADAPTABLE,MAINTAINABILITY,HIGH,Define a constant instead of duplicating this literal 'Dealer wins' 3 times.
ClassEval13canonical,python:S125,MAJOR,1,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,MEDIUM,Remove this commented out code.
