project,rule,severity,line,effort,debt,tags,type,scope,cleanCodeAttribute,quickFixAvailable,cleanCodeAttributeCategory,Software_Quality_Impact,Impact_Severity,message
TaskClassEval0k0enhanced-llm-4,python:S3776,CRITICAL,4,11min,11min,brain-overload,CODE_SMELL,MAIN,FOCUSED,False,ADAPTABLE,MAINTAINABILITY,HIGH,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.
TaskClassEval13k0enhanced-llm-4,python:S112,MAJOR,13,20min,20min,"cwe, error-handling",CODE_SMELL,MAIN,COMPLETE,False,INTENTIONAL,MAINTAINABILITY,MEDIUM,Replace this generic exception class with a more specific one.
TaskClassEval13k0enhanced-llm-4,python:S112,MAJOR,15,20min,20min,"cwe, error-handling",CODE_SMELL,MAIN,COMPLETE,False,INTENTIONAL,MAINTAINABILITY,MEDIUM,Replace this generic exception class with a more specific one.
TaskClassEval33k0enhanced-llm-4,python:S116,MINOR,2,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,False,CONSISTENT,MAINTAINABILITY,LOW,"Rename this field ""FidelityPromo"" to match the regular expression ^[_a-z][_a-z0-9]*$."
TaskClassEval33k0enhanced-llm-4,python:S116,MINOR,3,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,False,CONSISTENT,MAINTAINABILITY,LOW,"Rename this field ""BulkItemPromo"" to match the regular expression ^[_a-z][_a-z0-9]*$."
TaskClassEval33k0enhanced-llm-4,python:S116,MINOR,4,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,False,CONSISTENT,MAINTAINABILITY,LOW,"Rename this field ""LargeOrderPromo"" to match the regular expression ^[_a-z][_a-z0-9]*$."
TaskClassEval35k0enhanced-llm-4,python:S1481,MINOR,27,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,LOW,"Remove the unused local variable ""directions""."
TaskClassEval38k0enhanced-llm-4,python:S117,MINOR,27,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,False,CONSISTENT,MAINTAINABILITY,LOW,"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$."
TaskClassEval38k0enhanced-llm-4,python:S3923,MAJOR,34,15min,15min,,BUG,MAIN,CLEAR,False,INTENTIONAL,RELIABILITY,MEDIUM,Remove this if statement or edit its code blocks so that they're not all the same.
TaskClassEval40k0enhanced-llm-4,python:S100,MINOR,8,5min,5min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,False,CONSISTENT,MAINTAINABILITY,LOW,"Rename method ""get_BMI"" to match the regular expression ^[a-z_][a-z0-9_]*$."
TaskClassEval44k0enhanced-llm-4,python:S1481,MINOR,20,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,LOW,"Remove the unused local variable ""code""."
TaskClassEval51k0enhanced-llm-4,python:S117,MINOR,11,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,False,CONSISTENT,MAINTAINABILITY,LOW,"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$."
TaskClassEval51k0enhanced-llm-4,python:S117,MINOR,28,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,False,CONSISTENT,MAINTAINABILITY,LOW,"Rename this local variable ""P_bar"" to match the regular expression ^[_a-z][a-z0-9_]*$."
TaskClassEval51k0enhanced-llm-4,python:S117,MINOR,29,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,False,CONSISTENT,MAINTAINABILITY,LOW,"Rename this local variable ""P_e"" to match the regular expression ^[_a-z][a-z0-9_]*$."
TaskClassEval55k0enhanced-llm-4,python:S1192,CRITICAL,9,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,False,ADAPTABLE,MAINTAINABILITY,HIGH,Define a constant instead of duplicating this literal 'a|b|a|b|a' 3 times.
TaskClassEval55k0enhanced-llm-4,python:S1172,MAJOR,11,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,MEDIUM,"Remove the unused function parameter ""s""."
TaskClassEval55k0enhanced-llm-4,python:S1192,CRITICAL,39,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,False,ADAPTABLE,MAINTAINABILITY,HIGH,Define a constant instead of duplicating this literal 'a|b|a|b|a|x' 3 times.
TaskClassEval55k0enhanced-llm-4,python:S4144,MAJOR,58,15min,15min,"suspicious, duplicate, confusing",CODE_SMELL,MAIN,DISTINCT,False,ADAPTABLE,MAINTAINABILITY,MEDIUM,Update this function so that its implementation is not identical to test_palindromic_string_2 on line 54.
TaskClassEval57k0enhanced-llm-4,python:S3776,CRITICAL,3,8min,8min,brain-overload,CODE_SMELL,MAIN,FOCUSED,False,ADAPTABLE,MAINTAINABILITY,HIGH,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.
TaskClassEval57k0enhanced-llm-4,python:S3776,CRITICAL,41,8min,8min,brain-overload,CODE_SMELL,MAIN,FOCUSED,False,ADAPTABLE,MAINTAINABILITY,HIGH,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.
TaskClassEval62k0enhanced-llm-4,python:S1186,CRITICAL,2,5min,5min,suspicious,CODE_SMELL,MAIN,COMPLETE,False,INTENTIONAL,MAINTAINABILITY,HIGH,"Add a nested comment explaining why this method is empty, or complete the implementation."
TaskClassEval77k0enhanced-llm-4,python:S117,MINOR,2,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,False,CONSISTENT,MAINTAINABILITY,LOW,"Rename this parameter ""BLOCK_SIZE"" to match the regular expression ^[_a-z][a-z0-9_]*$."
TaskClassEval77k0enhanced-llm-4,python:S117,MINOR,2,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,False,CONSISTENT,MAINTAINABILITY,LOW,"Rename this parameter ""SCREEN_HEIGHT"" to match the regular expression ^[_a-z][a-z0-9_]*$."
TaskClassEval77k0enhanced-llm-4,python:S117,MINOR,2,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,False,CONSISTENT,MAINTAINABILITY,LOW,"Rename this parameter ""SCREEN_WIDTH"" to match the regular expression ^[_a-z][a-z0-9_]*$."
TaskClassEval80k0enhanced-llm-4,python:S1192,CRITICAL,11,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,False,ADAPTABLE,MAINTAINABILITY,HIGH,"Define a constant instead of duplicating this literal "" WHERE "" 3 times."
TaskClassEval80k0enhanced-llm-4,python:S1192,CRITICAL,11,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,False,ADAPTABLE,MAINTAINABILITY,HIGH,"Define a constant instead of duplicating this literal "" AND "" 3 times."
TaskClassEval80k0enhanced-llm-4,python:S3457,MAJOR,16,1min,1min,confusing,CODE_SMELL,MAIN,LOGICAL,False,INTENTIONAL,MAINTAINABILITY,MEDIUM,Add replacement fields or use a normal string instead of an f-string.
TaskClassEval81k0enhanced-llm-4,python:S1481,MINOR,42,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,LOW,"Remove the unused local variable ""means""."
TaskClassEval89k0enhanced-llm-4,python:S1481,MINOR,15,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,LOW,"Remove the unused local variable ""e""."
TaskClassEval89k0enhanced-llm-4,python:S1481,MINOR,22,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,LOW,"Remove the unused local variable ""e""."
TaskClassEval91k0enhanced-llm-4,python:S1172,MAJOR,9,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,MEDIUM,"Remove the unused function parameter ""encoding""."
TaskClassEval91k0enhanced-llm-4,python:S1192,CRITICAL,52,8min,8min,design,CODE_SMELL,MAIN,DISTINCT,False,ADAPTABLE,MAINTAINABILITY,HIGH,Define a constant instead of duplicating this literal '/foo/bar/' 4 times.
TaskClassEval91k0enhanced-llm-4,python:S5906,MINOR,54,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertTrue"" instead."
TaskClassEval91k0enhanced-llm-4,python:S5906,MINOR,60,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertFalse"" instead."
TaskClassEval91k0enhanced-llm-4,python:S5906,MINOR,66,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertTrue"" instead."
TaskClassEval91k0enhanced-llm-4,python:S5906,MINOR,72,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertFalse"" instead."
TaskClassEval91k0enhanced-llm-4,python:S5906,MINOR,78,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,False,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertFalse"" instead."
